John Mayer,121.915,0.3580334387226455,0.39422227234167595,0.04960708513851653,0.9665251934122088
Pinchers & Ganglords,159.798,0.7584370188413695,0.5797755638358311,0.1642080765293661,0.45462431701167755
The Police,147.599,0.7704169636151461,0.46704842804335006,0.04701365751801828,0.2374129793033157
Rise Against,186.254,0.22827455344118647,0.7049281189585995,0.12488347774465869,0.006633661382725382
Curt Bois,123.765,0.6151788037814604,0.05851698297739117,0.1256713121253744,0.9980491320907724
Kékélé,115.072,0.8292528133302594,0.5449436708604445,0.05355298234586908,0.3382152625858765
N.W.A.,189.801,0.4102864737055022,0.9947515681542117,0.6384388605420193,0.05425046196031299
Lifer,104.587,0.5810504729589296,0.8977115830199928,0.0519248831299558,0.002973934092197773
Inspiral Carpets,113.608,0.5007252882345468,0.8929182782477213,0.04627205813373897,0.006974286613395433
Ayo,57.639,0.5353363519055518,0.3253242920686345,0.12710593106833556,0.9472061029567319
